Census Tract,Mean Income,Median Income,Total Households
1,40125.62611137108,59999.0,2137.0
10,84900.8856938739,149999.0,11198.0
101,98475.91644253183,199999.0,5577.0
102,136225.22649727768,59999.0,5510.0
103,96525.80950910776,19999.0,6478.0
104,110502.38543455857,250000.0,2911.0
105,99775.16081424936,39999.0,1965.0
106,102521.33440693025,39999.0,9004.0
107,118152.75539143279,149999.0,3385.0
108,102061.26351204689,24999.0,4607.0
109,113695.0554592721,29999.0,1154.0
11,93647.85423326331,99999.0,10949.0
110,111108.14946107785,149999.0,4175.0
111,105525.66623683645,74999.0,4653.0
112,87205.13577753612,74999.0,6437.0
113,98427.99974349109,19999.0,7797.0
114,103288.65033407572,24999.0,2245.0
115,115107.39624449128,74999.0,5219.0
116,93428.08560677328,34999.0,1063.0
117,119688.56332931243,99999.0,1658.0
118,67566.28524709302,44999.0,2752.0
119,77362.67869071476,59999.0,4491.0
12,87556.286728736,19999.0,6337.0
120,104762.71662206363,124999.0,3363.0
121,128764.32985143918,59999.0,4308.0
122,80233.09680851064,29999.0,940.0
123,77064.30565881867,124999.0,2421.0
125,77270.83356741573,19999.0,1424.0
126,83285.40243228302,14999.0,1809.0
13,84349.47935463327,10000.0,9421.0
133,138980.99670239078,124999.0,1213.0
136,98482.12422997947,39999.0,1948.0
137,99724.87164527421,34999.0,1714.0
138,85804.49097938144,39999.0,776.0
139,95835.81512217612,34999.0,2169.0
14,101426.83285990228,74999.0,8801.0
141,105855.37287449393,10000.0,2470.0
142,98903.73132454489,10000.0,1593.0
143,95908.61538461539,59999.0,1105.0
144,90532.40111111112,149999.0,1800.0
145,60274.404689092764,19999.0,981.0
15,95781.02732585689,10000.0,6331.0
16,116695.10620549339,149999.0,4915.0
17,114630.47619047618,34999.0,1953.0
18,104552.00354170355,34999.0,5647.0
19,121854.57092941999,59999.0,5724.0
2,53379.021929824565,14999.0,1824.0
20,105652.74734208881,10000.0,3198.0
201,144742.90648567118,24999.0,1326.0
202,129401.25021987686,74999.0,2274.0
203,68422.08813747228,10000.0,1804.0
205,141159.12063808573,10000.0,3009.0
206,156255.88752196837,74999.0,1138.0
207,121196.98852684718,99999.0,2179.0
208,157564.66647727272,19999.0,1760.0
209,134043.78698630136,24999.0,1460.0
21,85323.64443833356,124999.0,7273.0
210,140059.0438247012,10000.0,2259.0
211,136520.26456009914,24999.0,1614.0
213,132719.12628170534,19999.0,1853.0
214,168687.56273764258,24999.0,1578.0
215,181810.6649659864,59999.0,1764.0
216,134638.92167227293,74999.0,2081.0
22,167679.48998721773,59999.0,2347.0
223,179578.9482439926,124999.0,1082.0
23,84875.38063660478,149999.0,2262.0
230,178759.98734177215,49999.0,2844.0
231,173344.18809849521,24999.0,1462.0
233,156777.07223113964,59999.0,2492.0
235,156114.14237743453,19999.0,1489.0
24,105294.44990649213,199999.0,3743.0
241,201246.0684057971,24999.0,1725.0
242,199843.7964946446,124999.0,1027.0
244,140011.52516233767,124999.0,1232.0
245,204595.8802978236,24999.0,1746.0
248,145733.71220556746,19999.0,2335.0
25,165869.45896656535,124999.0,1316.0
255,103188.57352171637,19999.0,1911.0
26,115339.67132010777,99999.0,4083.0
262,97225.3813868613,199999.0,2740.0
263,120088.70609318996,34999.0,558.0
264,99299.94181326116,24999.0,2217.0
265,97892.4093493367,29999.0,1583.0
266,124529.87485515643,149999.0,863.0
267,125150.22734026746,74999.0,2019.0
27,185213.67858627858,74999.0,2405.0
270,125429.99651871192,29999.0,1149.0
271,83347.96611295681,99999.0,1505.0
272,94029.52081218275,10000.0,985.0
273,112116.60739614995,124999.0,1974.0
274,107912.30315789474,74999.0,1900.0
275,104832.07273706897,19999.0,1856.0
276,117436.0421179302,29999.0,1662.0
278,163668.6877217885,149999.0,1409.0
28,162178.01398285973,59999.0,2217.0
280,90843.5297691373,19999.0,1646.0
281,95418.76765609007,19999.0,977.0
282,96354.8,14999.0,2235.0
283,138750.88209021886,19999.0,2239.0
285,116006.82432432432,24999.0,1702.0
286,143024.15262949784,250000.0,2529.0
287,146233.89050669773,199999.0,1717.0
29,116372.82220635487,24999.0,5602.0
3,105836.5375388716,74999.0,6753.0
30,139223.73762376237,39999.0,3636.0
306,103375.13782608695,99999.0,2300.0
307,87848.21677927928,39999.0,1776.0
31,125016.62720578018,24999.0,7197.0
310,153250.09460946094,19999.0,1818.0
314,144760.71772004652,24999.0,2579.0
318,155938.0923815237,199999.0,1667.0
32,88240.94926743931,49999.0,4573.0
325,166673.56842105262,59999.0,1995.0
328,138241.65494912118,24999.0,1081.0
34,137402.14479105355,10000.0,3398.0
35,95146.05762435445,99999.0,3679.0
38,119571.39397201291,124999.0,1858.0
39,139891.66461538462,74999.0,2275.0
