Block Group,Census Tract,County,State,Type,Income Range,Value
1,9501,Adams,Washington,Estimate,"    Less than $10,000",10
1,9501,Adams,Washington,Estimate,"    $10,000 to $14,999",3
1,9501,Adams,Washington,Estimate,"    $15,000 to $19,999",4
1,9501,Adams,Washington,Estimate,"    $20,000 to $24,999",4
1,9501,Adams,Washington,Estimate,"    $25,000 to $29,999",0
1,9501,Adams,Washington,Estimate,"    $30,000 to $34,999",5
1,9501,Adams,Washington,Estimate,"    $35,000 to $39,999",0
1,9501,Adams,Washington,Estimate,"    $40,000 to $44,999",4
1,9501,Adams,Washington,Estimate,"    $45,000 to $49,999",25
1,9501,Adams,Washington,Estimate,"    $50,000 to $59,999",20
1,9501,Adams,Washington,Estimate,"    $60,000 to $74,999",14
1,9501,Adams,Washington,Estimate,"    $75,000 to $99,999",66
1,9501,Adams,Washington,Estimate,"    $100,000 to $124,999",19
1,9501,Adams,Washington,Estimate,"    $125,000 to $149,999",30
1,9501,Adams,Washington,Estimate,"    $150,000 to $199,999",20
1,9501,Adams,Washington,Estimate,"    $200,000 or more",7
2,9501,Adams,Washington,Estimate,"    Less than $10,000",23
2,9501,Adams,Washington,Estimate,"    $10,000 to $14,999",15
2,9501,Adams,Washington,Estimate,"    $15,000 to $19,999",34
2,9501,Adams,Washington,Estimate,"    $20,000 to $24,999",27
2,9501,Adams,Washington,Estimate,"    $25,000 to $29,999",24
2,9501,Adams,Washington,Estimate,"    $30,000 to $34,999",31
2,9501,Adams,Washington,Estimate,"    $35,000 to $39,999",3
2,9501,Adams,Washington,Estimate,"    $40,000 to $44,999",17
2,9501,Adams,Washington,Estimate,"    $45,000 to $49,999",17
2,9501,Adams,Washington,Estimate,"    $50,000 to $59,999",41
2,9501,Adams,Washington,Estimate,"    $60,000 to $74,999",75
2,9501,Adams,Washington,Estimate,"    $75,000 to $99,999",86
2,9501,Adams,Washington,Estimate,"    $100,000 to $124,999",28
2,9501,Adams,Washington,Estimate,"    $125,000 to $149,999",57
2,9501,Adams,Washington,Estimate,"    $150,000 to $199,999",66
2,9501,Adams,Washington,Estimate,"    $200,000 or more",19
3,9501,Adams,Washington,Estimate,"    Less than $10,000",24
3,9501,Adams,Washington,Estimate,"    $10,000 to $14,999",12
3,9501,Adams,Washington,Estimate,"    $15,000 to $19,999",21
3,9501,Adams,Washington,Estimate,"    $20,000 to $24,999",2
3,9501,Adams,Washington,Estimate,"    $25,000 to $29,999",12
3,9501,Adams,Washington,Estimate,"    $30,000 to $34,999",2
3,9501,Adams,Washington,Estimate,"    $35,000 to $39,999",18
3,9501,Adams,Washington,Estimate,"    $40,000 to $44,999",25
3,9501,Adams,Washington,Estimate,"    $45,000 to $49,999",8
3,9501,Adams,Washington,Estimate,"    $50,000 to $59,999",4
3,9501,Adams,Washington,Estimate,"    $60,000 to $74,999",19
3,9501,Adams,Washington,Estimate,"    $75,000 to $99,999",46
3,9501,Adams,Washington,Estimate,"    $100,000 to $124,999",0
3,9501,Adams,Washington,Estimate,"    $125,000 to $149,999",0
3,9501,Adams,Washington,Estimate,"    $150,000 to $199,999",14
3,9501,Adams,Washington,Estimate,"    $200,000 or more",0
1,9502,Adams,Washington,Estimate,"    Less than $10,000",17
1,9502,Adams,Washington,Estimate,"    $10,000 to $14,999",9
1,9502,Adams,Washington,Estimate,"    $15,000 to $19,999",0
1,9502,Adams,Washington,Estimate,"    $20,000 to $24,999",10
1,9502,Adams,Washington,Estimate,"    $25,000 to $29,999",5
1,9502,Adams,Washington,Estimate,"    $30,000 to $34,999",9
1,9502,Adams,Washington,Estimate,"    $35,000 to $39,999",6
1,9502,Adams,Washington,Estimate,"    $40,000 to $44,999",10
1,9502,Adams,Washington,Estimate,"    $45,000 to $49,999",26
1,9502,Adams,Washington,Estimate,"    $50,000 to $59,999",32
1,9502,Adams,Washington,Estimate,"    $60,000 to $74,999",33
1,9502,Adams,Washington,Estimate,"    $75,000 to $99,999",60
1,9502,Adams,Washington,Estimate,"    $100,000 to $124,999",44
1,9502,Adams,Washington,Estimate,"    $125,000 to $149,999",13
1,9502,Adams,Washington,Estimate,"    $150,000 to $199,999",8
1,9502,Adams,Washington,Estimate,"    $200,000 or more",7
2,9502,Adams,Washington,Estimate,"    Less than $10,000",6
2,9502,Adams,Washington,Estimate,"    $10,000 to $14,999",4
2,9502,Adams,Washington,Estimate,"    $15,000 to $19,999",4
2,9502,Adams,Washington,Estimate,"    $20,000 to $24,999",0
2,9502,Adams,Washington,Estimate,"    $25,000 to $29,999",0
2,9502,Adams,Washington,Estimate,"    $30,000 to $34,999",1
2,9502,Adams,Washington,Estimate,"    $35,000 to $39,999",8
2,9502,Adams,Washington,Estimate,"    $40,000 to $44,999",6
2,9502,Adams,Washington,Estimate,"    $45,000 to $49,999",12
2,9502,Adams,Washington,Estimate,"    $50,000 to $59,999",12
2,9502,Adams,Washington,Estimate,"    $60,000 to $74,999",45
2,9502,Adams,Washington,Estimate,"    $75,000 to $99,999",40
2,9502,Adams,Washington,Estimate,"    $100,000 to $124,999",17
2,9502,Adams,Washington,Estimate,"    $125,000 to $149,999",0
2,9502,Adams,Washington,Estimate,"    $150,000 to $199,999",2
2,9502,Adams,Washington,Estimate,"    $200,000 or more",13
3,9502,Adams,Washington,Estimate,"    Less than $10,000",16
3,9502,Adams,Washington,Estimate,"    $10,000 to $14,999",19
3,9502,Adams,Washington,Estimate,"    $15,000 to $19,999",1
3,9502,Adams,Washington,Estimate,"    $20,000 to $24,999",5
3,9502,Adams,Washington,Estimate,"    $25,000 to $29,999",6
3,9502,Adams,Washington,Estimate,"    $30,000 to $34,999",4
3,9502,Adams,Washington,Estimate,"    $35,000 to $39,999",7
3,9502,Adams,Washington,Estimate,"    $40,000 to $44,999",8
3,9502,Adams,Washington,Estimate,"    $45,000 to $49,999",2
3,9502,Adams,Washington,Estimate,"    $50,000 to $59,999",19
3,9502,Adams,Washington,Estimate,"    $60,000 to $74,999",14
3,9502,Adams,Washington,Estimate,"    $75,000 to $99,999",19
3,9502,Adams,Washington,Estimate,"    $100,000 to $124,999",19
3,9502,Adams,Washington,Estimate,"    $125,000 to $149,999",3
3,9502,Adams,Washington,Estimate,"    $150,000 to $199,999",8
3,9502,Adams,Washington,Estimate,"    $200,000 or more",6
1,9504,Adams,Washington,Estimate,"    Less than $10,000",0
1,9504,Adams,Washington,Estimate,"    $10,000 to $14,999",8
1,9504,Adams,Washington,Estimate,"    $15,000 to $19,999",14
1,9504,Adams,Washington,Estimate,"    $20,000 to $24,999",0
1,9504,Adams,Washington,Estimate,"    $25,000 to $29,999",47
1,9504,Adams,Washington,Estimate,"    $30,000 to $34,999",11
1,9504,Adams,Washington,Estimate,"    $35,000 to $39,999",0
1,9504,Adams,Washington,Estimate,"    $40,000 to $44,999",23
1,9504,Adams,Washington,Estimate,"    $45,000 to $49,999",13
1,9504,Adams,Washington,Estimate,"    $50,000 to $59,999",37
1,9504,Adams,Washington,Estimate,"    $60,000 to $74,999",26
1,9504,Adams,Washington,Estimate,"    $75,000 to $99,999",37
1,9504,Adams,Washington,Estimate,"    $100,000 to $124,999",45
1,9504,Adams,Washington,Estimate,"    $125,000 to $149,999",29
1,9504,Adams,Washington,Estimate,"    $150,000 to $199,999",0
1,9504,Adams,Washington,Estimate,"    $200,000 or more",8
2,9504,Adams,Washington,Estimate,"    Less than $10,000",8
2,9504,Adams,Washington,Estimate,"    $10,000 to $14,999",94
2,9504,Adams,Washington,Estimate,"    $15,000 to $19,999",54
2,9504,Adams,Washington,Estimate,"    $20,000 to $24,999",12
2,9504,Adams,Washington,Estimate,"    $25,000 to $29,999",68
2,9504,Adams,Washington,Estimate,"    $30,000 to $34,999",11
2,9504,Adams,Washington,Estimate,"    $35,000 to $39,999",34
2,9504,Adams,Washington,Estimate,"    $40,000 to $44,999",37
2,9504,Adams,Washington,Estimate,"    $45,000 to $49,999",12
2,9504,Adams,Washington,Estimate,"    $50,000 to $59,999",28
2,9504,Adams,Washington,Estimate,"    $60,000 to $74,999",21
2,9504,Adams,Washington,Estimate,"    $75,000 to $99,999",143
2,9504,Adams,Washington,Estimate,"    $100,000 to $124,999",13
2,9504,Adams,Washington,Estimate,"    $125,000 to $149,999",18
2,9504,Adams,Washington,Estimate,"    $150,000 to $199,999",42
2,9504,Adams,Washington,Estimate,"    $200,000 or more",57
1,9505,Adams,Washington,Estimate,"    Less than $10,000",79
1,9505,Adams,Washington,Estimate,"    $10,000 to $14,999",0
1,9505,Adams,Washington,Estimate,"    $15,000 to $19,999",45
1,9505,Adams,Washington,Estimate,"    $20,000 to $24,999",31
1,9505,Adams,Washington,Estimate,"    $25,000 to $29,999",2
1,9505,Adams,Washington,Estimate,"    $30,000 to $34,999",0
1,9505,Adams,Washington,Estimate,"    $35,000 to $39,999",12
1,9505,Adams,Washington,Estimate,"    $40,000 to $44,999",0
1,9505,Adams,Washington,Estimate,"    $45,000 to $49,999",50
1,9505,Adams,Washington,Estimate,"    $50,000 to $59,999",32
1,9505,Adams,Washington,Estimate,"    $60,000 to $74,999",170
1,9505,Adams,Washington,Estimate,"    $75,000 to $99,999",152
1,9505,Adams,Washington,Estimate,"    $100,000 to $124,999",168
1,9505,Adams,Washington,Estimate,"    $125,000 to $149,999",94
1,9505,Adams,Washington,Estimate,"    $150,000 to $199,999",57
1,9505,Adams,Washington,Estimate,"    $200,000 or more",37
2,9505,Adams,Washington,Estimate,"    Less than $10,000",86
2,9505,Adams,Washington,Estimate,"    $10,000 to $14,999",95
2,9505,Adams,Washington,Estimate,"    $15,000 to $19,999",14
2,9505,Adams,Washington,Estimate,"    $20,000 to $24,999",90
2,9505,Adams,Washington,Estimate,"    $25,000 to $29,999",0
2,9505,Adams,Washington,Estimate,"    $30,000 to $34,999",0
2,9505,Adams,Washington,Estimate,"    $35,000 to $39,999",0
2,9505,Adams,Washington,Estimate,"    $40,000 to $44,999",32
2,9505,Adams,Washington,Estimate,"    $45,000 to $49,999",22
2,9505,Adams,Washington,Estimate,"    $50,000 to $59,999",50
2,9505,Adams,Washington,Estimate,"    $60,000 to $74,999",128
2,9505,Adams,Washington,Estimate,"    $75,000 to $99,999",61
2,9505,Adams,Washington,Estimate,"    $100,000 to $124,999",15
2,9505,Adams,Washington,Estimate,"    $125,000 to $149,999",13
2,9505,Adams,Washington,Estimate,"    $150,000 to $199,999",25
2,9505,Adams,Washington,Estimate,"    $200,000 or more",19
3,9505,Adams,Washington,Estimate,"    Less than $10,000",34
3,9505,Adams,Washington,Estimate,"    $10,000 to $14,999",0
3,9505,Adams,Washington,Estimate,"    $15,000 to $19,999",0
3,9505,Adams,Washington,Estimate,"    $20,000 to $24,999",0
3,9505,Adams,Washington,Estimate,"    $25,000 to $29,999",0
3,9505,Adams,Washington,Estimate,"    $30,000 to $34,999",39
3,9505,Adams,Washington,Estimate,"    $35,000 to $39,999",0
3,9505,Adams,Washington,Estimate,"    $40,000 to $44,999",0
3,9505,Adams,Washington,Estimate,"    $45,000 to $49,999",0
3,9505,Adams,Washington,Estimate,"    $50,000 to $59,999",26
3,9505,Adams,Washington,Estimate,"    $60,000 to $74,999",0
3,9505,Adams,Washington,Estimate,"    $75,000 to $99,999",34
3,9505,Adams,Washington,Estimate,"    $100,000 to $124,999",0
3,9505,Adams,Washington,Estimate,"    $125,000 to $149,999",0
3,9505,Adams,Washington,Estimate,"    $150,000 to $199,999",0
3,9505,Adams,Washington,Estimate,"    $200,000 or more",0
1,9601,Asotin,Washington,Estimate,"    Less than $10,000",23
1,9601,Asotin,Washington,Estimate,"    $10,000 to $14,999",0
1,9601,Asotin,Washington,Estimate,"    $15,000 to $19,999",18
1,9601,Asotin,Washington,Estimate,"    $20,000 to $24,999",40
1,9601,Asotin,Washington,Estimate,"    $25,000 to $29,999",6
1,9601,Asotin,Washington,Estimate,"    $30,000 to $34,999",30
1,9601,Asotin,Washington,Estimate,"    $35,000 to $39,999",7
1,9601,Asotin,Washington,Estimate,"    $40,000 to $44,999",0
1,9601,Asotin,Washington,Estimate,"    $45,000 to $49,999",11
1,9601,Asotin,Washington,Estimate,"    $50,000 to $59,999",31
1,9601,Asotin,Washington,Estimate,"    $60,000 to $74,999",69
1,9601,Asotin,Washington,Estimate,"    $75,000 to $99,999",74
1,9601,Asotin,Washington,Estimate,"    $100,000 to $124,999",29
1,9601,Asotin,Washington,Estimate,"    $125,000 to $149,999",53
1,9601,Asotin,Washington,Estimate,"    $150,000 to $199,999",83
1,9601,Asotin,Washington,Estimate,"    $200,000 or more",84
2,9601,Asotin,Washington,Estimate,"    Less than $10,000",0
2,9601,Asotin,Washington,Estimate,"    $10,000 to $14,999",0
2,9601,Asotin,Washington,Estimate,"    $15,000 to $19,999",9
2,9601,Asotin,Washington,Estimate,"    $20,000 to $24,999",29
2,9601,Asotin,Washington,Estimate,"    $25,000 to $29,999",15
2,9601,Asotin,Washington,Estimate,"    $30,000 to $34,999",23
2,9601,Asotin,Washington,Estimate,"    $35,000 to $39,999",11
2,9601,Asotin,Washington,Estimate,"    $40,000 to $44,999",0
2,9601,Asotin,Washington,Estimate,"    $45,000 to $49,999",0
2,9601,Asotin,Washington,Estimate,"    $50,000 to $59,999",28
2,9601,Asotin,Washington,Estimate,"    $60,000 to $74,999",64
2,9601,Asotin,Washington,Estimate,"    $75,000 to $99,999",58
2,9601,Asotin,Washington,Estimate,"    $100,000 to $124,999",4
2,9601,Asotin,Washington,Estimate,"    $125,000 to $149,999",50
2,9601,Asotin,Washington,Estimate,"    $150,000 to $199,999",18
2,9601,Asotin,Washington,Estimate,"    $200,000 or more",15
3,9601,Asotin,Washington,Estimate,"    Less than $10,000",33
3,9601,Asotin,Washington,Estimate,"    $10,000 to $14,999",24
3,9601,Asotin,Washington,Estimate,"    $15,000 to $19,999",0
