County,Mean Income,Median Income,Total Households
Adams,82708.32117812062,34999.0,4278.0
Asotin,87845.75481629645,124999.0,9499.0
Benton,96141.94361386777,44999.0,15518.0
Chelan,109804.56584870045,59999.0,6887.0
Clallam,84008.39759188847,250000.0,23670.0
Clark,98150.71224031443,250000.0,21372.0
Columbia,88058.95676274944,44999.0,1804.0
Cowlitz,83973.1165910688,124999.0,15653.0
Douglas,111084.5756183475,39999.0,13059.0
Ferry,75273.45685950413,59999.0,3025.0
Franklin,81073.48776065276,44999.0,2206.0
Garfield,78403.43409316154,250000.0,1009.0
Grant,89348.1065425954,14999.0,13863.0
Grays Harbor,82762.75446452951,39999.0,18311.0
Island,109501.06650796557,19999.0,27305.0
Jefferson,92232.78045909358,19999.0,1699.0
King,143490.60191354644,99999.0,235479.0
Kitsap,111488.82855066523,39999.0,53666.0
Kittitas,99260.67039940276,10000.0,8037.0
Klickitat,79970.37095088819,34999.0,1914.0
Lewis,88904.73156629864,149999.0,28711.0
Lincoln,91929.82700794352,14999.0,4532.0
Mason,100463.2539180229,199999.0,13272.0
Okanogan,83343.29701086956,19999.0,11040.0
Pacific,84108.64094034155,10000.0,4509.0
Pend Oreille,87175.33745860205,34999.0,5737.0
Pierce,109177.36476192475,124999.0,47653.0
San Juan,100358.49447174447,149999.0,1628.0
Skagit,102858.65586362703,19999.0,24345.0
Skamania,105822.09497090607,24999.0,4812.0
Snohomish,116624.30392224922,250000.0,43215.0
Spokane,88810.64193691693,34999.0,96793.0
Stevens,80829.33677847114,250000.0,10256.0
Thurston,105309.45940952453,250000.0,26521.0
Wahkiakum,78955.08495394063,10000.0,1954.0
Walla Walla,90309.05170967065,74999.0,9534.0
Whatcom,93715.09973890339,149999.0,9575.0
Whitman,88360.63675934974,250000.0,11257.0
Yakima,82969.16608958706,250000.0,27437.0
